anime,anime_url,anime_img,episodes,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,MAL_ID,Score,Genre,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
Happiness!,https://www.crunchyroll.com/happiness,https://img1.ak.crunchyroll.com/i/spire3/2ccca23700d511a033d047ca0ae037ec1279142545_full.jpg,0,3069,14529,4.73,52,17,92,373,2535,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570,6.41,"Comedy, Harem, Magic, Romance, School",Happiness!,はぴねす！,TV,12,"Oct 6, 2006 to Dec 22, 2006",Fall 2006,Delfi Sound,Maiden Japan,Artland,Visual novel,25 min. per ep.,PG-13 - Teens 13 or older,6361.0,2865,32261,53,1374,19044,1221,1874,8748,582.0,856.0,2058.0,3890.0,3325.0,2270.0,968.0,430.0,245.0,161.0
Beelzebub,https://www.crunchyroll.com/beelzebub,https://img1.ak.crunchyroll.com/i/spire3/be709d61c2952bd6f73cbcf949b8e8931293503784_full.jpg,0,2928,14027,4.79,11,18,80,355,2464,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9513,7.91,"Action, Comedy, Demons, Supernatural, School, Shounen",Beelzebub,べるぜバブ,TV,60,"Jan 9, 2011 to Mar 25, 2012",Winter 2011,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,Manga,24 min. per ep.,PG-13 - Teens 13 or older,663.0,280,462977,4948,41167,252852,33184,34022,101752,27478.0,43885.0,67638.0,50833.0,19901.0,8633.0,3233.0,1270.0,650.0,516.0
Nogizaka Haruka no Himitsu,https://www.crunchyroll.com/nogizaka-haruka-no-himitsu,https://img1.ak.crunchyroll.com/i/spire3/c50f5b571000791ccac45e802c28f5471281738341_full.jpg,0,2504,12133,4.85,24,7,39,192,2242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3467,7.24,"Comedy, Romance",Haruka Nogizaka's Secret,乃木坂春香の秘密,TV,12,"Jul 3, 2008 to Sep 25, 2008",Summer 2008,"Geneon Universal Entertainment, ASCII Media Works, Studio Mausu",Discotek Media,Diomedéa,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,2612.0,1234,117124,436,4195,79160,2760,3690,27319,4418.0,7353.0,14806.0,17432.0,9238.0,4631.0,1709.0,720.0,358.0,213.0
Saki,https://www.crunchyroll.com/saki,https://img1.ak.crunchyroll.com/i/spire4/d9f5e51c6ce7a1c3c36cd0728596d2dc1389320768_full.jpg,38,2367,11134,4.7,29,19,80,368,1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5671,7.48,"Game, School, Slice of Life",Unknown,咲-Saki-,TV,25,"Apr 6, 2009 to Sep 28, 2009",Spring 2009,"TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon, KlockWorx, TV Tokyo Music, Kiyosumi High School Mahjong Club, Sotsu Music Publishing",Unknown,"Gonzo, Picture Magic",Manga,24 min. per ep.,PG-13 - Teens 13 or older,1649.0,1671,79667,818,4471,40215,3518,4616,26847,2631.0,5001.0,9139.0,9157.0,4417.0,2009.0,805.0,287.0,142.0,107.0
Slam Dunk,https://www.crunchyroll.com/slam-dunk,https://img1.ak.crunchyroll.com/i/spire4/f26a43ba646fa169a232726fe578d0cd1279145968_full.jpg,0,2351,11039,4.7,96,14,73,144,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,170,8.53,"Comedy, Drama, School, Shounen, Sports",Slam Dunk,スラムダンク,TV,101,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,"TV Asahi, Animax","Flatiron Film Company, Geneon Entertainment USA",Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,92.0,728,201203,5471,15530,108713,12179,7862,56919,24041.0,26797.0,25578.0,12645.0,4036.0,1603.0,493.0,215.0,125.0,443.0
Hunter x Hunter,https://www.crunchyroll.com/hunter-x-hunter,https://img1.ak.crunchyroll.com/i/spire3/cbb55a6382682bf71e91f685c6473c5a1487736090_full.jpg,148,2244,10873,4.85,21,13,51,122,2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,62,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,Fuji TV,VIZ Media,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,143.0,319,416227,9525,28061,260968,15535,15100,96563,47419.0,54430.0,58285.0,30731.0,9392.0,3638.0,1134.0,429.0,258.0,756.0
11eyes,https://www.crunchyroll.com/11eyes,https://img1.ak.crunchyroll.com/i/spire2/1b95d5f8110840d5b1ab4c93a669d1641423696225_full.jpg,0,2137,9790,4.58,43,42,111,375,1566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6682,6.16,"Action, Ecchi, Super Power, Supernatural",11eyes,11eyes イレブンアイズ,TV,12,"Oct 7, 2009 to Dec 23, 2009",Fall 2009,"Marvelous, Pony Canyon, feng",Sentai Filmworks,Doga Kobo,Visual novel,25 min. per ep.,R - 17+ (violence & profanity),7510.0,710,207294,503,7301,146869,5348,11106,36670,4198.0,6651.0,14450.0,26236.0,24425.0,16410.0,10009.0,4937.0,3123.0,2261.0
Black Clover,https://www.crunchyroll.com/black-clover,https://img1.ak.crunchyroll.com/i/spire2/1a39d39cbe3346cce5e44577cbb895041579741401_full.jpg,127,1941,7446,3.84,288,173,147,294,1039,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34572,7.38,"Action, Comedy, Magic, Fantasy, Shounen",Black Clover,ブラッククローバー,TV,170,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,"TV Tokyo, Avex Pictures, Shueisha","Funimation, Crunchyroll",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1968.0,97,860404,19941,530324,103,79487,89594,160896,49818.0,60359.0,93327.0,82229.0,36725.0,20784.0,12705.0,6803.0,4213.0,4679.0
H2O: Footprints in the Sand,https://www.crunchyroll.com/h2o-footprints-in-the-sand,https://img1.ak.crunchyroll.com/i/spire2/43e53321a8781400c87245a397894b021289442503_full.jpg,0,1889,9017,4.77,27,15,49,177,1621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3299,7.06,"Harem, Romance, School",H2O:Footprints in the Sand,H2O ~FOOTPRINTS IN THE SAND~,TV,12,"Jan 4, 2008 to Mar 21, 2008",Winter 2008,"NTT Docomo, Studio Jack",Kadokawa Pictures USA,Zexcs,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,3397.0,1572,85935,421,2774,55824,2468,3947,20922,3686.0,5448.0,9023.0,11294.0,6913.0,3918.0,2001.0,896.0,514.0,386.0
Another,https://www.crunchyroll.com/another,https://img1.ak.crunchyroll.com/i/spire1/6a63d28dc4193210a69c83f1fca67bf21325886769_full.jpg,12,1859,8750,4.71,21,16,64,285,1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11111,7.55,"Mystery, Horror, Supernatural, Thriller, School",Another,アナザー,TV,12,"Jan 10, 2012 to Mar 27, 2012",Winter 2012,"Lantis, Kadokawa Shoten, Toho, KlockWorx, Bandai Namco Live Creative, NTT Docomo",Sentai Filmworks,P.A. Works,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1411.0,45,1219780,15629,40503,925862,23357,29426,200632,78086.0,127269.0,201228.0,178654.0,83228.0,37792.0,18429.0,8275.0,4057.0,2625.0
Asura Cryin',https://www.crunchyroll.com/asura-cryin,https://img1.ak.crunchyroll.com/i/spire3/80d9bd5768c9ab994feabf7f592fc29d1273791851_full.jpg,0,1406,6652,4.73,10,14,53,190,1139,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342,6.95,"Action, Supernatural, Mecha",Unknown,アスラクライン,TV,13,"Apr 2, 2009 to Jun 25, 2009",Spring 2009,"TV Tokyo, Starchild Records, Raku High Student Council",Unknown,Seven Arcs,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,3807.0,1520,90386,195,4014,57053,3626,5498,20195,2312.0,4199.0,9183.0,13027.0,7668.0,4216.0,1870.0,783.0,341.0,265.0
Usagi Drop,https://www.crunchyroll.com/usagi-drop,https://img1.ak.crunchyroll.com/i/spire3/5cbf0fdfe8d3c0aafca4732d2c1f3df71309282623_full.jpg,0,1402,6850,4.89,6,0,15,106,1275,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10162,8.43,"Slice of Life, Josei",Bunny Drop,うさぎドロップ,TV,11,"Jul 8, 2011 to Sep 16, 2011",Summer 2011,"Fuji TV, Tohokushinsha Film Corporation, Sony Music Entertainment, Sakura Create, Fujipacific Music","NIS America, Inc.",Production I.G,Manga,22 min. per ep.,PG-13 - Teens 13 or older,140.0,339,391626,5760,14382,241673,8866,5467,121238,35965.0,63871.0,60718.0,27282.0,7426.0,2415.0,643.0,233.0,149.0,559.0
SKET Dance,https://www.crunchyroll.com/sket-dance,https://img1.ak.crunchyroll.com/i/spire3/69265eb93a25ab7d8a9180eb18be87f91301520977_full.jpg,77,1364,6513,4.77,11,8,33,173,1139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9863,8.25,"Comedy, School, Shounen",SKET Dance,スケットダンス,TV,77,"Apr 7, 2011 to Sep 27, 2012",Spring 2011,"TV Tokyo, Avex Entertainment, Dentsu",Unknown,Tatsunoko Production,Manga,24 min. per ep.,PG-13 - Teens 13 or older,262.0,804,185346,3098,17137,70818,15698,14494,67199,11534.0,17613.0,20347.0,12299.0,5077.0,2654.0,918.0,328.0,154.0,196.0
One Piece,https://www.crunchyroll.com/one-piece,https://img1.ak.crunchyroll.com/i/spire4/8056a82e973dde98ebb82abd39dc69731564519729_full.jpg,1135,1142,5364,4.7,42,15,35,63,987,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,ONE PIECE,TV,Unknown,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,95.0,31,1352724,126645,887333,33,187919,136245,141194,292445.0,166186.0,141755.0,85424.0,35342.0,19019.0,8201.0,3675.0,2616.0,6340.0
Fate/Zero,https://www.crunchyroll.com/fatezero,https://img1.ak.crunchyroll.com/i/spire3/2ee05df6e44530437069955b71f09daf1317839234_full.jpg,25,1097,5254,4.79,12,8,25,109,943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10087,8.34,"Action, Supernatural, Magic, Fantasy",Fate/Zero,フェイト/ゼロ,TV,13,"Oct 2, 2011 to Dec 25, 2011",Fall 2011,"Aniplex, Nitroplus, Seikaisha, Notes",Aniplex of America,ufotable,Light novel,28 min. per ep.,R - 17+ (violence & profanity),192.0,59,1090273,30267,47817,773576,24194,16509,228177,112939.0,185628.0,188400.0,90942.0,27585.0,10434.0,3881.0,1401.0,737.0,1340.0
Chihayafuru,https://www.crunchyroll.com/chihayafuru,https://img1.ak.crunchyroll.com/i/spire1/3711c8d7170680a6f6fa3503b2ca7da31572467477_full.jpg,74,1054,5090,4.83,9,4,21,90,930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800,8.23,"Drama, Game, Josei, School, Slice of Life, Sports",Chihayafuru,ちはやふる,TV,25,"Oct 5, 2011 to Mar 28, 2012",Fall 2011,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,Manga,22 min. per ep.,PG-13 - Teens 13 or older,275.0,389,348658,6927,21814,170333,16589,12964,126958,21387.0,39804.0,46808.0,23688.0,7841.0,3334.0,1031.0,451.0,207.0,247.0
Air Master,https://www.crunchyroll.com/air-master,https://img1.ak.crunchyroll.com/i/spire3/d2f7dc87bc7ff25c034396460d55cfab1273790662_full.jpg,0,973,4382,4.5,42,9,70,148,704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,7.02,"Action, Comedy, Martial Arts, Seinen",Air Master,エアマスター,TV,27,"Apr 2, 2003 to Oct 1, 2003",Spring 2003,"VAP, Nippon Television Network",Geneon Entertainment USA,Toei Animation,Manga,24 min. per ep.,R - 17+ (violence & profanity),3550.0,2829,32762,155,1618,17231,1617,3016,9280,908.0,1397.0,2770.0,3882.0,2431.0,1473.0,759.0,328.0,239.0,185.0
Hyakko,https://www.crunchyroll.com/hyakko,https://img1.ak.crunchyroll.com/i/spire2/76f3cb6b81dccd992916ea149220dfb41450743734_full.jpg,0,956,4491,4.7,22,9,25,124,776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4550,7.26,"Comedy, School, Slice of Life",Unknown,ヒャッコ,TV,13,"Oct 2, 2008 to Dec 25, 2008",Fall 2008,Flex Comix,Nozomi Entertainment,Nippon Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2525.0,2524,40506,116,1653,22740,1785,2550,11778,930.0,2281.0,4916.0,5634.0,2821.0,1424.0,483.0,217.0,93.0,80.0
Brave 10,https://www.crunchyroll.com/brave-10,https://img1.ak.crunchyroll.com/i/spire3/0ad95ed4fd62f25cf311c5c19d4198661325696546_full.jpg,12,892,4141,4.64,12,13,41,150,676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11241,6.8,"Action, Adventure, Historical, Super Power, Samurai, Seinen",Brave 10,ブレイブ・テン,TV,12,"Jan 8, 2012 to Mar 25, 2012",Winter 2012,"Media Factory, Studio Saki Makura, TMS Music","NIS America, Inc.",TMS Entertainment,Manga,24 min. per ep.,R - 17+ (violence & profanity),4421.0,1131,130165,287,6625,82375,4417,7129,29619,2997.0,5179.0,11428.0,18986.0,12938.0,7300.0,2756.0,1173.0,511.0,301.0
