Names,anime_url,anime_img,episodes,votes_x,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,MAL_ID,Score,Genre,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,mediaType,eps,duration,ongoing,startYr,finishYr,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes_y
Diabolik Lovers,https://www.crunchyroll.com/diabolik-lovers,https://img1.ak.crunchyroll.com/i/spire4/6792970dea24081392ab45d083fc10791443978202_full.jpg,0,517,1544,2.99,169,58,60,71,159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17513,5.3,"Harem, School, Shoujo, Vampire",Diabolik Lovers,DIABOLIK LOVERS,TV,12,"Sep 16, 2013 to Dec 9, 2013",Fall 2013,"Frontier Works, Idea Factory, Showgate",Sentai Filmworks,Zexcs,Visual novel,15 min. per ep.,R - 17+ (violence & profanity),10136.0,590,247790,1920,10319,177270,4560,23384,32257,7857.0,6907.0,11066.0,18864.0,23177.0,21690.0,18553.0,12023.0,11505.0,10969.0,TV,12.0,15.0,False,2013.0,2013.0,Fall,"After her father moves and leaves her behind, Yui Komori arrives at the mansion she must now call her home, unaware of the horrors that await her. For Yui’s new housemates are vampires, and she’s been sent to live with them by the church as their prospective bride-to-be. But what sounds like the subject of a romance novel soon turns to despair, as these fanged beauties are delighted to have a new plaything to torment and will stop at nothing to force themselves upon her and drink her blood. Yui must now learn to cope with her new life of being sadistically abused at every turn, whether she’s called derogatory slurs, forced to feed the vampires’ bloodlust against her will, or being treated like the garbage they see her to be.",['Zexcs'],"['Reverse Harem', 'Shoujo', 'Mansion', 'Supernatural', 'Vampires', 'Based on an Otome Game', 'Based on a Visual Novel']","['Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Violence']",18122.0,1594,4379,2010,2.192,13603.0
Berserk,https://www.crunchyroll.com/berserk,https://img1.ak.crunchyroll.com/i/spire3/43ea3545f4cd269d77ab1459b32c23921493158315_full.jpg,26,505,1775,3.51,104,50,48,88,215,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32379,6.39,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,ベルセルク,TV,12,"Jul 1, 2016 to Sep 16, 2016",Summer 2016,"WOWOW, Mainichi Broadcasting System, Hakusensha, Ultra Super Pictures, LIDENFILMS, NBCUniversal Entertainment Japan, Lucent Pictures Entertainment, Docomo Anime Store, Koei Tecmo Games, Rialto Entertainment","Funimation, Crunchyroll","Millepensee, GEMBA",Manga,24 min. per ep.,R+ - Mild Nudity,6438.0,574,254341,1882,16173,145480,5387,25368,61933,10408.0,11262.0,19260.0,25846.0,19092.0,11032.0,10504.0,6977.0,6100.0,7906.0,TV,25.0,,False,1997.0,1998.0,Fall,"Born beneath the gallows tree from which his dead mother hung, Guts has always existed on the boundary between life and death. After enduring a terrible childhood, he spends his adulthood in brutal combat, pitting his strength against others in order to build his own. Life is simple enough for Guts until he meets Griffith, the inspirational, ambitious, and beautiful leader of the mercenaries, the Band of the Hawks. When Guts loses to Griffith in a duel, he is forced to join the group, and, despite himself, finds a sense of camaraderie and belonging amongst them. However, as Griffith leads his soldiers from victory to victory, the bloody wars and underhanded politics reveal a side to him that nobody quite expected. Can Guts, a simple warrior, defend those who have come to mean the most to him, all the while struggling not to lose to the darkness he has carried with him his entire life?",['OLM'],"['Action', 'Fantasy', 'Seinen', 'Dark Fantasy', 'Demons', 'Medieval', 'Mercenaries', 'Overpowered Main Characters', 'Swordplay', 'Based on a Manga']","['Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",34322.0,1808,14085,1732,4.335,26828.0
Mob Psycho 100,https://www.crunchyroll.com/mob-psycho-100,https://img1.ak.crunchyroll.com/i/spire4/24452933dd3f9282b32e49f0ce5fdc5b1546985597_full.jpg,54,501,2413,4.82,4,6,7,44,440,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32182,8.49,"Action, Slice of Life, Comedy, Supernatural",Mob Psycho 100,モブサイコ100,TV,12,"Jul 11, 2016 to Sep 27, 2016",Summer 2016,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation, Crunchyroll",Bones,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,109.0,40,1255830,27971,68041,942402,26125,19213,200049,134872.0,258189.0,248934.0,89592.0,20530.0,7113.0,2553.0,959.0,497.0,1112.0,TV,12.0,,False,2016.0,2016.0,Summer,"Kageyama Shigeo, a.k.a. ""Mob,"" is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make?",['Bones'],"['Action', 'Comedy', 'Shounen', 'Overpowered Main Characters', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga']",['Violence'],34423.0,3716,10529,1063,4.493,25831.0
Un-Go,https://www.crunchyroll.com/un-go,https://img1.ak.crunchyroll.com/i/spire3/6861c749e6e7211b7bffe1aa34331a4c1318509515_full.jpg,0,491,2289,4.66,5,7,21,83,375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10798,7.4,"Mystery, Supernatural",Un-Go,UN-GO アン ゴ,TV,11,"Oct 14, 2011 to Dec 23, 2011",Fall 2011,"Dentsu, Fuji TV, Toho, Sony Music Entertainment, Fujipacific Music",Sentai Filmworks,Bones,Novel,24 min. per ep.,R - 17+ (violence & profanity),1916.0,1149,128732,628,5903,64941,4692,5738,47458,3468.0,7295.0,14298.0,14938.0,6991.0,3232.0,1260.0,458.0,216.0,151.0,TV,11.0,,False,2011.0,2011.0,Fall,"In post-war Japan, the nation remains unsettled and crime is as big a problem as ever. Despite his sharp mind and keen deductions, ""Defeated Detective"" Shinjurou Yuuki frequently loses out to his rival, Rinroku Kaishou, whose information network has previously aided many police investigations. However, in spite of his poor reputation, Shinjurou continues to work on every case he's recruited to with his mysterious assistant Inga. With Inga's power to transform into a being capable of forcing any person to truthfully answer one question put to them, the pair uses everything at their disposal to get to the bottom of each crime and reveal the true culprit – even if the reality of who solved the case never reaches the public...",['Bones'],"['Mystery', 'Detectives', 'Noir', 'noitaminA', 'Supernatural', 'Based on a Novel']",[],7624.0,766,5504,682,3.868,6230.0
Dragon Ball Super,https://www.crunchyroll.com/dragon-ball-super,https://img1.ak.crunchyroll.com/i/spire3/98ea4207e23a2ea3e3af39ad641d88001533322009_full.jpg,131,479,2029,4.24,40,28,32,58,321,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30694,7.42,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",Dragon Ball Super,ドラゴンボール超（スーパー）,TV,131,"Jul 5, 2015 to Mar 25, 2018",Summer 2015,"Yomiko Advertising, Fuji TV",Funimation,Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1818.0,212,536891,8471,99165,345941,22202,27883,41700,42638.0,46847.0,78067.0,81751.0,42032.0,20174.0,10686.0,5314.0,3235.0,3312.0,TV,131.0,,False,2015.0,2018.0,Summer,"With Majin Buu defeated, Goku has taken a completely new role as...a radish farmer?! With Earth at peace, our heroes have settled into normal lives. But they can’t get too comfortable. Far away, the powerful God of Destruction, Beerus, awakens to a prophecy revealing his demise at the hands of an even more formidable being. When his search for the Saiyan God brings him to Earth, can Goku and his friends take on their strongest foe yet?",['Toei Animation'],"['Action', 'Comedy', 'Aliens', 'Gods', 'Hand to Hand Combat', 'Martial Arts', 'Non-Human Protagonists', 'Superpowers']",[],12431.0,9898,5868,1140,4.118,14102.0
ReLIFE,https://www.crunchyroll.com/relife,https://img1.ak.crunchyroll.com/i/spire4/06f2c7030f794acf0bfdd34e5735bd191465708255_full.jpg,17,467,2266,4.85,1,3,8,40,415,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30015,8.03,"Slice of Life, Romance, School",ReLIFE,ReLIFE,TV,13,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"Aniplex, Half H.P Studio, comico, Hakuhodo DY Media Partners, Lawson, C & I entertainment, TMS Music","Funimation, Crunchyroll",TMS Entertainment,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,498.0,126,717580,7566,32848,503190,15158,14479,151905,46558.0,95473.0,139851.0,82537.0,25879.0,9709.0,3120.0,1014.0,464.0,446.0,Web,13.0,24.0,False,2016.0,2016.0,Summer,"Arata Kaizaki (27) quit the job he landed after graduation in only three months. His life did not go well after that. Now his parents are threatening to stop sending money, and want him to come back to the country. He has no friend or girlfriend to share his troubles with...as he hits rock bottom a strange man named Ryo Yoake appears. Yoake invites Kaizaki to join a societal rehabilitation program for NEETs called ReLife. This program uses a mysterious drug to make him look younger, and sends him back to high school for a year...","['TMS Entertainment', 'Double Eagle']","['Comedy', 'Drama', 'Romance', 'Seinen', 'Slice of Life', 'Age Transformation', 'NEET', 'Psychological', 'School Life', 'Based on a Manga']",[],22138.0,2111,9069,754,4.35,16938.0
Isekai Cheat Magician,https://www.crunchyroll.com/isekai-cheat-magician,https://img1.ak.crunchyroll.com/i/spire1/27ee54e7e9ec05447cc2d971c99fbe9b1562751577_full.jpg,12,446,952,2.13,237,66,52,28,63,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37744,5.38,"Action, Adventure, Fantasy",Unknown,異世界チート魔術師〈マジシャン〉,TV,12,"Jul 10, 2019 to Sep 25, 2019",Summer 2019,"AT-X, KBS, Kadokawa Media House, Kadokawa, Shufunotomo",Unknown,Encourage Films,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,9986.0,781,191481,456,17916,111022,3781,26217,32545,2668.0,2836.0,6869.0,14905.0,19705.0,18677.0,13321.0,8131.0,5856.0,5056.0,TV,12.0,,False,2019.0,2019.0,Summer,"Nishimura Taichi is a typical, average high schooler, and Azuma Rin is a beautiful woman with the build of a model and excellent reflexes. The two live a normal high school life until one day they're suddenly enveloped in a mysterious magic circle and transported to an unknown land. That world is full of terrifying monsters, beastmen, dwarves, elves, and many other races right out of fantasy. In order to survive in this new world Taichi and Rin decide to become adventurers, but when they take the aptitude test, they discover they both possess cheat level magic...",['Encourage Films'],"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Childhood Friends', 'Guilds', 'Isekai', 'Magic', 'Monsters', 'Overpowered Main Characters', 'Person in a Strange World', 'Summoned Into Another World', 'Based on a Light Novel']",['Violence'],6125.0,2177,3101,1051,2.634,5070.0
Aldnoah.Zero,https://www.crunchyroll.com/aldnoahzero,https://img1.ak.crunchyroll.com/i/spire3/1ee8628337834531f6427a97248129871420484061_full.jpg,25,395,1584,4.01,21,33,61,86,194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22729,7.44,"Action, Military, Sci-Fi, Mecha",Aldnoah.Zero,アルドノア・ゼロ,TV,12,"Jul 6, 2014 to Sep 21, 2014",Summer 2014,"Aniplex, Movic, Nitroplus, Houbunsha, MAGES., Tokyo MX, Asahi Broadcasting, BS11",Aniplex of America,"A-1 Pictures, TROYCA",Original,23 min. per ep.,R - 17+ (violence & profanity),1755.0,299,432548,4020,16970,306310,9400,14993,84875,21128.0,40181.0,67793.0,59552.0,28311.0,14649.0,7421.0,3158.0,1483.0,1024.0,TV,12.0,,False,2014.0,2014.0,Summer,"Fifteen years have passed since the hypergate collapsed on the moon's surface - a catastrophe known as the Heaven's Fall. The war between Earth and the VERS Empire of Mars is now in a cease-fire. The VERS' Princess Asseylum Vers Allusia descends upon Earth as an ambassador hoping to encourage reconciliation while some citizens are not willing to compromise. Inaho Kaizuka, a Terran high school student... and Slaine Troyard, who swears his allegiance to Princess Assylum... Their fates cross as both societies watch in horror as a missile crashes on Asseylum's motorcade. This incident marks the beginning of a new war.","['TROYCA', 'A-1 Pictures']","['Action', 'Mecha', 'Sci Fi', 'Conspiracy', 'Military', 'Political', 'Real Robot', 'War', 'Original Work']",[],20154.0,1682,6745,938,4.033,15943.0
Charlotte,https://www.crunchyroll.com/charlotte,https://img1.ak.crunchyroll.com/i/spire2/f67a9d25f1a79891bd8cc9e68bf6021c1435186459_full.jpg,13,378,1706,4.51,12,11,23,57,275,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28999,7.77,"Drama, School, Super Power",Charlotte,Charlotte（シャーロット）,TV,13,"Jul 5, 2015 to Sep 27, 2015",Summer 2015,"Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, ASCII Media Works, Tokyo MX, BS11",Aniplex of America,P.A. Works,Original,24 min. per ep.,PG-13 - Teens 13 or older,877.0,64,1057447,17800,41882,811977,16828,22611,164149,92116.0,123791.0,179854.0,139784.0,61167.0,27465.0,13643.0,6408.0,2732.0,1803.0,TV,13.0,,False,2015.0,2015.0,Summer,"Very few adolescent boys and girls have an onset of special abilities. Yuu Otosaka is one such man who uses his ability unbeknownst to others in order to lead a satisfying school life. Then one day, a girl named Nao Tomori suddenly appears before him. Their encounter reveals the destiny for wielders of special abilities.",['P.A. Works'],"['Comedy', 'Drama', 'Human Experimentation', 'School Life', 'Student Council', 'Supernatural', 'Superpowers', 'Original Work']",[],35069.0,2679,10429,1324,4.225,26665.0
Plastic Memories,https://www.crunchyroll.com/plastic-memories,https://img1.ak.crunchyroll.com/i/spire2/ad2b0b48b9f93920299b014bd70f24ed1428100037_full.jpg,13,364,1684,4.63,7,7,25,37,288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27775,7.94,"Sci-Fi, Drama, Romance",Plastic Memories,プラスティック・メモリーズ,TV,13,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,"Aniplex, Movic, AT-X, ASCII Media Works, Bushiroad, MAGES., Asahi Broadcasting, BS11",Aniplex of America,Doga Kobo,Original,24 min. per ep.,PG-13 - Teens 13 or older,623.0,154,643043,9223,34019,396899,20291,22823,169011,51548.0,66207.0,94793.0,65999.0,26175.0,11927.0,5412.0,2090.0,945.0,739.0,TV,13.0,,False,2015.0,2015.0,Spring,"After failing his college entrance exams, 18 year-old Tsukasa Mizugaki is offered a position at the renowned SAI Corporation due to his father’s connections. SAI Corporation is known for its production and management of androids that possessed human emotions called Giftia. Tsukasa’s position is in the terminal service department where the main job is to recover Giftias that are close to their expiration, a graveyard department in every sense. To make matters worse, Tsukasa is ordered to work with Isla, a female Giftia who is never given any responsibility other than serving tea to co-workers.",['Doga Kobo'],"['Drama', 'Romance', 'Sci Fi', 'Androids', 'Non-Human Protagonists', 'Robots', 'Original Work']",[],15990.0,2053,9516,1385,4.105,13237.0
Mizu no Kotoba,https://www.crunchyroll.com/mizu-no-kotoba,https://img1.ak.crunchyroll.com/i/spire1/55047431e14daa0fbf62c4d4f9b121e61279148254_full.jpg,0,349,1637,4.69,4,2,12,62,269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235,6.81,"Drama, Psychological, Sci-Fi",Unknown,水のコトバ,Special,1,"Oct 26, 2002",Unknown,Unknown,Unknown,Studio Rikka,Original,9 min.,PG-13 - Teens 13 or older,4420.0,3517,21674,29,260,16263,109,112,4930,478.0,1101.0,2505.0,3678.0,2583.0,1238.0,457.0,224.0,116.0,79.0,TV Special,1.0,9.0,False,2002.0,2002.0,,"In a cafe, people spend their time talking to each other about what’s on their mind. They talk about troubles with love, spread gossip about a friend of a friend and tell about the time they saw a flying fish. The waitress of the cafe tries to teach a lesson to a boy that just broke up with his girlfriend that relationships don’t end when the people involved part ways. Overall, the other people in the cafe also become influenced by what tools of humanity and the human language can do for relationships between lovers and friends. The unbelievable is always tested by science and our own imaginations...",['Studio Rikka'],"['Drama', 'Shorts', 'Original Work']",[],2744.0,30,1301,24,3.424,2046.0
White Album,https://www.crunchyroll.com/white-album,https://img1.ak.crunchyroll.com/i/spire4/73f9f47c165bd01f0e6550cfb81d23cc1279148246_full.jpg,0,348,1496,4.3,23,11,27,65,222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720,6.55,"Drama, Harem, Music, Romance",White Album,ホワイトアルバム,TV,13,"Jan 4, 2009 to Mar 29, 2009",Winter 2009,Unknown,Unknown,Seven Arcs,Visual novel,25 min. per ep.,PG-13 - Teens 13 or older,5650.0,1465,94919,179,4836,36636,3472,5729,44246,1368.0,2135.0,5079.0,8081.0,6480.0,3706.0,1958.0,899.0,558.0,481.0,TV,13.0,,False,2009.0,2009.0,Winter,"Touya Fujii is a young university student who juggles two part-time jobs with his studies so that he can afford to live. The most important thing in his life is his girlfriend Yuki, but since she is an up and coming idol they barely get a chance to talk, let alone see each other. With her managers keeping a close watch on her and attempting to prevent their relationship, it seems that Touya and Yuki will simply have to make the most of their fleeting moments together. However, they do have one person fighting in their corner: Yuki’s friend - the famous idol Rina Ogata - hires Touya in order to create opportunities for the pair to be together. Unfortunately he is promptly fired when the production company discover her plan. When she pledges to make it up to him, Touya begins to wonder if Rina is all that she seems, and why is she going to so much trouble for him and Yuki?",['Seven Arcs'],"['Drama', 'Romance', 'Idols', 'Based on an Eroge', 'Based on a Visual Novel']",[],4148.0,534,4947,846,2.901,3407.0
Fullmetal Alchemist: Brotherhood,https://www.crunchyroll.com/fullmetal-alchemist-brotherhood,https://img1.ak.crunchyroll.com/i/spire4/fabddf1040abbd18948b9aacc18011b31475523493_full.jpg,64,319,1572,4.93,1,0,2,15,301,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5114,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",Fullmetal Alchemist:Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,64,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity),1.0,3,2248456,183914,171871,1644938,75728,32456,323463,714811.0,401507.0,199160.0,70045.0,20210.0,9308.0,3222.0,1536.0,2162.0,16806.0,TV,64.0,,False,2009.0,2010.0,Spring,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.",['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Military', 'Siblings', 'Based on a Manga']","['Animal Abuse', 'Mature Themes', 'Violence', 'Domestic Abuse']",103707.0,14351,25810,2656,4.702,86547.0
Black Bullet,https://www.crunchyroll.com/black-bullet,https://img1.ak.crunchyroll.com/i/spire2/893a35d45c053eb2171051fc591c07bc1396898246_full.jpg,13,319,1310,4.11,17,19,41,78,164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20787,7.17,"Action, Sci-Fi, Mystery, Seinen",Black Bullet,ブラック・ブレット　BLACK BULLET　［黒の銃弾］,TV,13,"Apr 8, 2014 to Jul 1, 2014",Spring 2014,"Geneon Universal Entertainment, AT-X, Showgate, NBCUniversal Entertainment Japan",Sentai Filmworks,"Kinema Citrus, Orange",Light novel,24 min. per ep.,R - 17+ (violence & profanity),2877.0,127,709300,3680,29827,503294,15816,24143,136220,26709.0,47669.0,94073.0,110354.0,58256.0,28705.0,13428.0,5964.0,3140.0,1827.0,TV,13.0,,False,2014.0,2014.0,Spring,"In the year 2021, mankind was defeated by Gastrea, a parasitical virus, and was forced to live within a wall made of Baranuim monoliths, a metal that is able to subdue Gastrea. Soon, the ""Cursed Children"" were discovered: children born infected with the Gastrea virus who possess superhuman abilities. Due to the Gastrea virus' intervention, the Cursed Children could only be female. Civil Securities are formed to specialize fighting against Gastrea, operating with the pair of an Initiator, who are cursed children, and a Promoter, serving to lead the cursed children. Ten years after the war, Rentaro Satomi, a high school student and Civil Security member, and his Initator Enju Aihara, receive a secret mission to prevent Tokyo's destruction.","['Orange', 'Kinema Citrus']","['Action', 'Mystery', 'Sci Fi', 'Insects', 'Pandemic', 'Post-apocalyptic', 'Based on a Light Novel']",[],30093.0,2275,9530,1607,3.867,22899.0
Tsuritama,https://www.crunchyroll.com/tsuritama,https://img1.ak.crunchyroll.com/i/spire2/81768983b78e9d34c69ba21997f396e11335926055_full.jpg,12,302,1432,4.74,2,3,7,47,243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12883,7.7,"Comedy, Sci-Fi, Slice of Life, Sports",tsuritama,つり球,TV,12,"Apr 13, 2012 to Jun 29, 2012",Spring 2012,"Aniplex, Dentsu, Fuji TV, Sakura Create",Sentai Filmworks,A-1 Pictures,Original,23 min. per ep.,PG-13 - Teens 13 or older,1016.0,1042,143088,2286,7906,63453,6727,6754,58248,5930.0,9434.0,15328.0,12968.0,5634.0,2634.0,981.0,381.0,163.0,133.0,TV,12.0,,False,2012.0,2012.0,Spring,"Yuki is an introverted teenager whose intense fear of public speaking makes it difficult for him to make friends, so hoping for a fresh start, he moves with his grandmother to the small island of Enoshima. Shortly after his arrival he encounters Haru, a strange youth claiming to be an alien - and what's more, the otherworldly visitor requests his help to catch a strange being that inhabits the local waters! Along with fellow classmate and local angling celebrity Natsuki, the boys must now form a bond in the hopes of saving the town from the force that is threatening it. With a mysterious organization also lurking about and posing potential danger, Yuki must put his best face forward and protect the island... with the help of a fishing rod?!",['A-1 Pictures'],"['Comedy', 'Sci Fi', 'Aliens', 'Coming of Age', 'Countryside', 'Fishing', 'Island', 'Iyashikei', 'Mental Illness', 'noitaminA', 'Ocean', 'Original Work']",[],5765.0,805,5314,666,3.99,5052.0
Nisekoi,https://www.crunchyroll.com/nisekoi,https://img1.ak.crunchyroll.com/i/spire1/0cf2bb1d8613e37f7b8913b0cc85065b1389123747_full.jpg,33,293,1253,4.28,12,14,31,60,176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18897,7.65,"Harem, Comedy, Romance, School, Shounen",Nisekoi:False Love,ニセコイ,TV,20,"Jan 11, 2014 to May 24, 2014",Winter 2014,"Aniplex, Mainichi Broadcasting System, Shueisha",Aniplex of America,Shaft,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1140.0,97,857824,12713,40916,614039,22107,28902,151860,47461.0,81657.0,147594.0,125925.0,50561.0,21916.0,8797.0,3367.0,1654.0,1621.0,TV,20.0,,False,2014.0,2014.0,Winter,"Raku Ichijo is an average high school student. He also happens to be the sole heir to the head of a Yakuza Family called the Shuei-gumi. 10 years ago, Raku made a promise… a secret promise with a girl he met. They promised one another that they will “get married when they reunite.” Since then, Raku never let go of the pendant the girl gave him.",['Shaft'],"['Comedy', 'Harem', 'Romance', 'Shounen', 'Slice of Life', 'Childhood Promise', 'Fake Romance', 'Gangs', 'Romantic Comedy', 'School Life', 'Tsundere', 'Yakuza', 'Based on a Manga']",[],27399.0,2713,8610,1564,4.103,21539.0
